"","FIPS","GEO_ID","pop2020","pop2020_w","pct_w","pct_pov","med_inc","pct_unins","incidence","death","svi"
"108",5007,"0500000US05007",284333,201188,70.7578789658605,9.4,66362,8.9,436.4,151.7,0.2707
"109",5009,"0500000US05009",37373,34128,91.3172611243411,14.7,45374,6.9,477.5,171.7,0.4379
"110",5011,"0500000US05011",10545,5890,55.8558558558559,20.5,43184,11,502.7,192.1,0.9803
"111",5013,"0500000US05013",4739,3539,74.6782021523528,13.4,46417,9.3,500.4,228.5,0.5481
"112",5015,"0500000US05015",28260,21952,77.6786978060863,14.8,46110,11.1,448.1,155.9,0.5952
"113",5017,"0500000US05017",10208,3953,38.7245297805643,28.9,34147,9.3,460.4,213,0.9968
"114",5019,"0500000US05019",21446,14316,66.7537069849856,20.3,41620,8.5,512.3,174.1,0.7892
"115",5021,"0500000US05021",14552,13731,94.3581638262782,21.1,37233,6.5,535.3,229.5,0.6529
"116",5023,"0500000US05023",24711,22953,92.8857593784145,14,44483,8.2,510.3,177.8,0.2083
"117",5025,"0500000US05025",7550,6466,85.6423841059603,18.4,46684,5.5,555.6,193.3,0.5643
"118",5027,"0500000US05027",22801,13371,58.6421648173326,25,36193,7.1,400.9,175.5,0.9398
"119",5029,"0500000US05029",20715,16367,79.0103789524499,17.6,42802,6.8,474.2,170.9,0.7589
"120",5031,"0500000US05031",111231,80639,72.4968758709353,16.6,47286,8.8,488.4,167.8,0.8041
"121",5033,"0500000US05033",60133,48610,80.837476926147,17.2,46828,8.1,461.1,178,0.6105
"122",5035,"0500000US05035",48163,19276,40.0224238523348,22.2,40161,8.4,452.6,218.1,0.9341
"123",5037,"0500000US05037",16833,12213,72.5539119586526,15.4,46787,7.7,519.8,224.8,0.7013
"124",5039,"0500000US05039",6482,3487,53.7951249614317,14.7,38072,6.5,483.6,203.2,0.8777
"125",5041,"0500000US05041",11395,4845,42.518648530057,29.1,31893,6.3,506.2,163.4,0.9596
"126",5043,"0500000US05043",17350,11291,65.0778097982709,18.8,46997,5.5,515.9,184.6,0.801
"127",5045,"0500000US05045",123498,94088,76.1858491635492,16.7,52827,8.8,493.5,163.6,0.4774
"128",5047,"0500000US05047",17097,15367,89.881265719132,23,38923,5.5,477.7,183.2,0.5943
"129",5049,"0500000US05049",12075,11249,93.1594202898551,20.7,35405,12.1,430.7,192.9,0.6688
"130",5051,"0500000US05051",100180,78837,78.6953483729287,18.6,44777,10.5,491.9,165.5,0.828
"131",5053,"0500000US05053",17958,16304,90.7896202249694,14.5,55388,4.8,510.3,183.5,0.3541
"132",5055,"0500000US05055",45736,41038,89.728004198006,16.4,47056,7.7,488.4,185.8,0.5834
"133",5057,"0500000US05057",20065,11006,54.8517318714179,22.7,42860,9.1,401.6,159,0.9468
"134",5059,"0500000US05059",33040,26525,80.2814769975787,18,43889,7.1,476.8,178.4,0.8188
"135",5061,"0500000US05061",12785,8164,63.8560813453266,19.4,36059,8.6,396.6,170.4,0.9045
"136",5063,"0500000US05063",37938,32108,84.6328219726923,16.7,44319,8.7,488.4,161.1,0.7525
"137",5065,"0500000US05065",13577,12306,90.6385799513884,15.1,42876,6.2,394.5,163.1,0.5697
"138",5067,"0500000US05067",16755,12890,76.9322590271561,24.4,34109,7.7,481.3,208,0.765
"139",5069,"0500000US05069",67260,25478,37.8798691644365,22.2,40726,6.8,530.7,196.3,0.9436
"140",5071,"0500000US05071",25749,20088,78.0146801817546,22.7,38511,11.1,457.6,189.8,0.8768
"141",5073,"0500000US05073",6308,3906,61.9213696892834,25.9,32397,8.2,380.2,148.5,0.7898
"142",5075,"0500000US05075",16216,15044,92.7725703009373,15.6,39993,6.6,575.6,211.1,0.6471
"143",5077,"0500000US05077",8600,3465,40.2906976744186,22.1,29681,7.2,478.8,200.5,0.9656
"144",5079,"0500000US05079",12941,8324,64.3226953094815,20,46596,7.4,400.4,190.7,0.8134
"145",5081,"0500000US05081",12026,8714,72.4596707134542,16.1,45113,6.2,453.2,162.6,0.6306
"146",5083,"0500000US05083",21131,18826,89.0918555676494,18.7,41466,6.6,464.5,175.9,0.8045
"147",5085,"0500000US05085",74015,61624,83.2587988921165,12.2,59094,7.6,522.9,189.4,0.3309
"148",5087,"0500000US05087",16521,14275,86.4051812844259,17.4,41682,10.3,446.5,185,0.6535
"149",5089,"0500000US05089",16826,15569,92.5294187566861,18.2,36719,5.7,448.1,178.6,0.5175
"150",5091,"0500000US05091",42600,28036,65.81220657277,20.1,43371,9.4,426.1,192.3,0.9124
"151",5093,"0500000US05093",40685,23208,57.0431362910164,24.3,39962,7.4,483.4,206.9,0.9554
"152",5095,"0500000US05095",6799,3568,52.4783056331814,27.1,38468,8.9,564.9,249.5,0.8516
"153",5097,"0500000US05097",8484,7577,89.3092880716643,21.3,35741,10.2,433.7,195.1,0.7
"154",5099,"0500000US05099",8310,5218,62.791817087846,23.1,38042,9.4,447.9,198.8,0.8841
"155",5101,"0500000US05101",7225,6689,92.5813148788927,15.8,38082,5,359.6,163.5,0.2815
"156",5103,"0500000US05103",22650,12194,53.8366445916115,23.2,35425,7.1,529.3,220.9,0.8656
"157",5105,"0500000US05105",10019,9165,91.4761952290648,17.9,48667,5.1,486.7,181.4,0.636
"158",5107,"0500000US05107",16568,5616,33.8966682761951,34.5,29320,8.4,464.3,192.2,0.9239
"159",5109,"0500000US05109",10171,8681,85.3505063415593,15.4,40401,9.1,479.8,176.7,0.7124
"160",5111,"0500000US05111",22965,19391,84.4371870237318,21.4,40921,11.3,547.5,222,0.8268
"161",5113,"0500000US05113",19221,16428,85.4690182612767,23.8,37974,10.5,443.4,197.8,0.8949
"162",5115,"0500000US05115",63381,51409,81.1110585191146,18.8,43462,8.6,468.8,167.2,0.7936
"163",5117,"0500000US05117",8282,6964,84.085969572567,14.8,42660,7.8,467.3,150.6,0.6548
"164",5119,"0500000US05119",399125,199197,49.9084246789853,16.8,51749,7.9,484.9,160.8,0.6287
"165",5121,"0500000US05121",18571,16684,89.8389962845296,18.8,37218,7.3,539,212.2,0.7166
"166",5123,"0500000US05123",23090,9551,41.3642269380684,24.9,35348,8.6,417.1,169.4,0.9691
"167",5125,"0500000US05125",123416,98388,79.7206196927465,9.2,64412,6,488,163.2,0.3325
"168",5127,"0500000US05127",9836,8210,83.4688897925986,19.1,36092,10,427.5,189.5,0.8873
"169",5129,"0500000US05129",7828,7123,90.9938681655595,21.9,36438,6.5,494.8,174.5,0.4376
"170",5131,"0500000US05131",127799,86828,67.9410637015939,18.5,46228,10.4,467,165.9,0.8328
"171",5133,"0500000US05133",15839,9594,60.5720058084475,21.3,47704,16.8,349.4,164.8,0.7675
"172",5135,"0500000US05135",17271,15876,91.9228764981761,22.2,34671,6.3,505.6,204.5,0.6191
"173",5137,"0500000US05137",12359,11488,92.9525042479165,19.8,38188,7.6,432.1,165.6,0.5102
"174",5139,"0500000US05139",39054,23216,59.4458954268449,19.1,44663,7.5,494.8,211.8,0.8054
"175",5141,"0500000US05141",15796,14485,91.7004304887313,18.5,38499,9.6,515.1,156.3,0.7226
"176",5143,"0500000US05143",245871,168351,68.4712715204314,16.4,50451,11.6,456.5,151.9,0.6745
"177",5145,"0500000US05145",76822,65237,84.9196844653875,15.7,44029,8.3,509.9,178.1,0.7446
"178",5147,"0500000US05147",6269,4255,67.8736640612538,25.2,32845,6,627.8,201.2,0.849
"179",5149,"0500000US05149",20263,15330,75.6551349750777,16.6,43923,7.9,447.6,174.4,0.8783
"180",6001,"0500000US06001",1682353,523836,31.137103806395,9.9,99406,4.4,385.9,128,0.4701
"181",6003,"0500000US06003",1204,814,67.6079734219269,19.7,63750,8.9,386.4,225.1,0.7287
"182",6005,"0500000US06005",40474,31104,76.8493353757968,9.9,62772,4.7,444.1,145.3,0.5334
"183",6007,"0500000US06007",211632,149557,70.6684244348681,19.1,52537,6.2,471.1,169,0.8064
"184",6009,"0500000US06009",45292,36315,80.1797226883335,11.4,63158,4.4,406.1,142.4,0.235
"185",6011,"0500000US06011",21839,9364,42.877421127341,13,59401,9.8,377.2,138,0.7436
"186",6013,"0500000US06013",1165927,501697,43.0298809445188,8.7,99716,5.1,419.7,133.9,0.4057
"187",6015,"0500000US06015",27743,17193,61.9723894315683,19.5,45283,6.5,382.7,164.4,0.9713
"188",6017,"0500000US06017",191185,146624,76.692209116824,8.4,83377,4.6,434.5,133.7,0.1838
"189",6019,"0500000US06019",1008654,374678,37.1463356116171,22.5,53969,8.3,392.9,141,0.9611
"190",6021,"0500000US06021",28917,15753,54.4766054569976,17.5,49633,8.6,493.9,161.7,0.8895
"191",6023,"0500000US06023",136463,98095,71.8839538922638,20.1,48041,8.2,427.7,165.8,0.7605
"192",6025,"0500000US06025",179702,47537,26.45323925165,24.1,47622,8,391.3,118.6,0.9978
"193",6027,"0500000US06027",19016,11752,61.800588977703,9.3,57316,5.8,433.3,148.7,0.5701
"194",6029,"0500000US06029",909235,371734,40.8842598448146,21,53350,7.9,406.7,150.3,0.9659
"195",6031,"0500000US06031",152486,61226,40.1518827957976,18.2,57848,7.5,374.7,151.7,0.9707
"196",6033,"0500000US06033",68163,46858,68.7440400217127,18.6,47040,7.1,451.2,189.2,0.9178
"197",6035,"0500000US06035",32730,21066,64.3629697525206,13.5,56352,4.4,384.9,147.8,0.5997
